MEMBERSHIP_ID,MEMBER_ID,MEM_TYPE_ID,MEMBERSHIP_StartDate,MEMBERSHIP_ExpDate,MEMBERSHIP_Declared
3407,2303,1,2025-01-20,2025-04-25,1
3408,2304,3,2025-01-01,2025-12-31,1
3409,2305,2,2025-01-20,2025-12-13,1
3410,2306,1,2025-01-20,2025-04-25,1
3411,2307,1,2025-01-20,2025-04-25,1
3412,2307,1,2025-05-19,2025-08-23,1
3413,2303,1,2025-05-19,2025-08-23,1
3414,2308,1,2025-05-19,2025-08-23,1
3415,2306,1,2025-05-19,2025-08-23,1
3416,2309,1,2025-05-19,2025-08-23,1
3417,2310,1,2025-05-19,2025-08-23,1
3418,2311,1,2025-05-19,2025-08-23,1
3419,2312,1,2025-05-19,2025-08-23,1
3420,2312,1,2025-09-15,2025-12-13,1
3421,2307,1,2025-09-15,2025-12-13,1
3422,2308,1,2025-09-15,2025-12-13,1
3423,2306,1,2025-09-15,2025-12-13,1
3424,2309,1,2025-09-15,2025-12-13,1
3425,2313,3,2025-09-15,2026-09-14,1
3426,2314,1,2025-09-15,2025-12-13,1
3427,2315,3,2025-09-15,2026-09-14,1
3428,2316,1,2025-09-15,2025-12-13,1
3429,2317,3,2025-09-15,2026-09-14,1
3430,2310,1,2025-09-15,2025-12-13,1
3431,2318,3,2025-09-15,2026-09-14,1
3432,2319,1,2025-09-15,2025-12-13,1
3433,2320,3,2025-09-15,2026-09-14,1
3434,2321,1,2025-09-15,2025-12-13,1
3435,2322,3,2025-09-15,2026-09-14,1
3436,2323,1,2025-09-15,2025-12-13,1
3437,2324,3,2025-09-15,2026-09-14,1
3438,2325,1,2025-09-15,2025-12-13,1
3439,2326,3,2025-09-15,2026-09-14,1
3440,2327,1,2025-09-15,2025-12-13,1
3441,2328,3,2025-09-15,2026-09-14,1
3442,2329,3,2025-09-15,2026-09-14,1
3443,2330,1,2025-09-15,2025-12-13,1
3444,2331,3,2025-09-15,2026-09-14,1
3445,2332,1,2025-09-15,2025-12-13,1
